price,area,road_width,width,floors,parking_slots,bedrooms,type_Nhà trong ngõ,district_Quận Bắc Từ Liêm,district_Quận Cầu Giấy,district_Quận Hai Bà Trưng,district_Quận Hoàn Kiếm,district_Quận Hoàng Mai,district_Quận Hà Đông,district_Quận Long Biên,district_Quận Nam Từ Liêm,district_Quận Thanh Xuân,district_Quận Tây Hồ,district_Quận Đống Đa
31.0,80.0,25.0,7.3,9.0,4,10,0,0,1,0,0,0,0,0,0,0,0,0
10.5,60.0,20.0,6.3,4.0,1,4,0,0,0,0,0,0,0,0,0,1,0,0
28.5,64.0,30.0,7.4,8.0,4,7,0,0,0,0,0,0,0,0,0,0,0,1
102.0,246.0,40.0,10.2,10.0,4,11,0,0,0,0,0,0,0,0,0,0,1,0
71.0,99.0,35.0,7.1,9.0,4,11,0,0,1,0,0,0,0,0,0,0,0,0
15.0,66.0,30.0,5.0,7.0,2,7,0,0,0,0,0,1,0,0,0,0,0,0
17.5,50.0,25.0,4.0,9.0,4,5,1,0,1,0,0,0,0,0,0,0,0,0
13.0,57.0,20.0,4.6,7.0,2,5,1,0,0,0,0,1,0,0,0,0,0,0
38.0,112.0,30.0,9.5,4.0,2,6,0,0,0,0,0,0,0,0,0,0,0,1
17.0,50.0,30.0,4.5,7.0,2,4,0,0,0,0,0,0,0,0,0,0,0,1
21.0,106.0,30.0,8.1,5.0,2,4,0,0,0,0,0,0,0,0,0,0,0,1
20.0,67.0,30.0,5.0,7.0,2,6,0,0,0,0,0,0,0,0,0,1,0,0
20.0,90.0,40.0,6.0,5.0,2,6,0,0,0,0,0,0,0,0,1,0,0,0
11.0,47.0,20.0,4.6,7.0,1,4,0,0,0,0,0,0,0,0,0,1,0,0
20.0,80.0,25.0,5.0,6.0,2,5,0,0,0,0,0,0,0,0,0,0,0,1
20.0,67.0,30.0,5.0,7.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0
4.95,40.0,6.0,6.4,5.0,1,4,1,0,0,0,0,0,1,0,0,0,0,0
4.1,40.0,3.0,4.0,4.0,0,3,1,0,0,0,0,0,1,0,0,0,0,0
5.8,38.0,6.0,4.0,5.0,2,4,1,0,0,0,0,0,1,0,0,0,0,0
5.6,40.0,5.0,9.3,4.5,1,4,1,0,0,0,0,0,1,0,0,0,0,0
3.55,30.0,4.0,3.2,3.0,0,4,1,0,0,0,0,0,1,0,0,0,0,0
7.0,45.0,4.0,5.0,5.0,1,4,0,0,1,0,0,0,0,0,0,0,0,0
18.0,31.0,15.0,4.0,5.0,1,4,0,0,1,0,0,0,0,0,0,0,0,0
16.6,55.0,8.0,4.0,6.0,1,5,0,0,1,0,0,0,0,0,0,0,0,0
17.0,50.0,30.0,4.5,7.0,2,4,0,0,0,0,0,0,0,0,0,0,0,1
21.0,106.0,30.0,8.1,5.0,2,4,0,0,0,0,0,0,0,0,0,0,0,1
11.0,47.0,20.0,4.5,5.0,1,4,0,0,0,0,0,0,0,0,0,0,0,1
20.0,71.0,30.0,6.4,7.0,2,6,0,0,0,0,0,0,0,0,0,1,0,0
36.0,100.0,40.0,16.0,9.0,4,8,0,0,0,0,0,0,0,0,1,0,0,0
17.5,48.0,35.0,4.0,5.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0
16.5,50.0,15.0,4.5,7.0,2,6,0,0,0,0,0,0,0,0,0,0,0,1
10.0,38.0,30.0,4.5,4.0,2,7,0,0,0,0,0,0,0,0,0,0,0,1
29.0,71.0,15.0,8.1,8.0,4,8,0,0,0,0,0,0,0,0,0,0,0,1
22.0,55.0,15.0,4.5,5.0,2,5,0,0,0,0,0,0,0,0,0,0,0,1
27.0,55.0,30.0,13.0,4.0,4,4,0,0,1,0,0,0,0,0,0,0,0,0
20.0,60.0,20.0,5.2,8.0,4,7,0,0,1,0,0,0,0,0,0,0,0,0
23.0,46.0,40.0,4.65,7.0,4,7,0,0,0,0,0,0,0,0,0,0,1,0
86.0,145.0,40.0,7.0,9.0,3,9,0,0,0,0,0,0,0,0,0,1,0,0
50.0,130.0,33.0,9.0,5.0,4,5,0,0,0,1,0,0,0,0,0,0,0,0
82.0,145.0,36.0,10.0,6.0,0,6,0,0,0,0,0,0,0,0,0,0,0,1
73.0,136.0,20.0,6.0,4.0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
99.0,160.0,36.0,14.0,9.0,4,9,0,0,0,1,0,0,0,0,0,0,0,0
23.5,77.0,6.0,5.0,4.0,4,4,0,0,0,0,0,0,0,0,0,0,0,1
31.0,122.0,25.0,5.0,5.0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
31.0,140.0,7.0,4.2,7.0,0,9,0,0,0,0,0,0,0,0,0,1,0,0
82.0,360.0,15.0,12.0,4.0,0,10,1,0,0,0,0,0,0,0,0,0,0,0
43.0,200.0,12.0,8.0,4.0,0,6,1,0,1,0,0,0,0,0,0,0,0,0
23.0,85.0,10.0,5.5,5.0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
50.0,100.0,30.0,6.0,6.0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
28.5,64.0,35.0,7.5,8.0,2,7,0,0,0,0,0,0,0,0,0,0,0,1
51.5,86.0,35.0,5.6,8.0,2,8,0,0,1,0,0,0,0,0,0,0,0,0
5.5,40.0,5.0,3.5,4.0,1,4,1,0,0,0,0,0,0,1,0,0,0,0
0.16,35.0,3.0,3.4,5.0,1,3,1,0,0,0,0,0,0,1,0,0,0,0
5.8,40.0,4.0,5.0,5.0,1,3,1,0,0,0,0,0,1,0,0,0,0,0
86.0,145.0,40.0,7.0,9.0,3,9,0,0,0,0,0,0,0,0,0,1,0,0
63.0,95.0,20.0,3.0,4.0,0,6,0,0,0,0,1,0,0,0,0,0,0,0
50.0,108.0,23.0,4.5,5.0,0,5,0,0,0,0,0,0,0,0,0,0,0,1
42.0,120.0,23.0,5.0,3.0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
48.0,188.0,25.0,5.5,4.0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
95.0,205.0,18.0,6.0,5.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
